year,STATE,value,measure,state
2004,UTAH,28.40272187,DEMOCRAT,Utah
2004,UTAH,68.73117581,REPUBLICAN,Utah
2004,VERMONT,24.54298065,REPUBLICAN,Vermont
2004,VERMONT,70.627067,DEMOCRAT,Vermont
2004,WASHINGTON,54.98048535,DEMOCRAT,Washington
2004,WASHINGTON,42.73618834,REPUBLICAN,Washington
2004,WASHINGTON,1.20820208,LIBERTARIAN,Washington
2004,WISCONSIN,0.28365183,LIBERTARIAN,Wisconsin
2004,WISCONSIN,55.35048308,DEMOCRAT,Wisconsin
2004,WISCONSIN,44.11174126,REPUBLICAN,Wisconsin
2006,ARIZONA,43.49939939,DEMOCRAT,Arizona
2006,ARIZONA,53.34081748,REPUBLICAN,Arizona
2006,ARIZONA,3.158997159,LIBERTARIAN,Arizona
2006,CALIFORNIA,59.4310515,DEMOCRAT,California
2006,CALIFORNIA,1.567071078,LIBERTARIAN,California
2006,CALIFORNIA,35.01528307,REPUBLICAN,California
2006,CONNECTICUT,9.622859822,REPUBLICAN,Connecticut
2006,CONNECTICUT,39.72974426,DEMOCRAT,Connecticut
2006,DELAWARE,28.70042639,REPUBLICAN,Delaware
2006,DELAWARE,1.099303623,LIBERTARIAN,Delaware
2006,DELAWARE,70.20026999,DEMOCRAT,Delaware
2006,FLORIDA,60.30098045,DEMOCRAT,Florida
2006,FLORIDA,38.09563049,REPUBLICAN,Florida
2006,HAWAII,1.871124308,LIBERTARIAN,Hawaii
2006,HAWAII,36.77991611,REPUBLICAN,Hawaii
2006,HAWAII,61.34895958,DEMOCRAT,Hawaii
2006,INDIANA,87.35690036,REPUBLICAN,Indiana
2006,INDIANA,12.58807064,LIBERTARIAN,Indiana
2006,MAINE,74.40380975,REPUBLICAN,Maine
2006,MAINE,20.75310753,DEMOCRAT,Maine
2006,MARYLAND,44.19542776,REPUBLICAN,Maryland
2006,MARYLAND,54.20559541,DEMOCRAT,Maryland
2006,MASSACHUSETTS,66.88272533,DEMOCRAT,Massachusetts
